,tweet_id,text,query,user_id,follower_count,user_tweet_count,likes,retweets,user_location,date
60,1346808577986596865,trump legacy violence death sedition from npr news massive 1year rise in homicide rates collided with the pandemic in 2020,death rates,1333951681730666499,588,3143,0,1,,2021-01-06
372,1346764582442954754,yet your lot dont give a damn for the worse preventable corvid19 death rates in the world by the criminally negligent trump 350k millions going hungry and loosing their jobs whilst the billionaires are getting richer under trump,death rates,884725084371521536,1086,124535,0,0,,2021-01-06
810,1346819050295369736,dear starting at 1pm on the 20th rs will blame you and ds for all harm covid economy national security everything you must combat their disinformation with truth telling how all our problems are from trump and gop bore all with repetition daily,covid,948521737,13712,55683,17,5,,2021-01-06
821,1346819046583513094,fabulous article but not surprising of trumps and wh attitude the indifference toward citizens during this horrific covid is indefensible by all gop such unnecessary suffering for our people due to trumpgop incompetence yes trump is accountable,covid,1321761401430560768,20,10270,0,1,,2021-01-06
833,1346819043966267392,young healthy senator who spoke at rallies packed wthousands wo masks who supports trump whos downplayed covid amp mocked those who wear masks is 1st to get vaccine while most medical workers elderly amp infirm americans wait congratulations on ur privilege ,covid,32728220,67,2920,0,27379,,2021-01-06
860,1346819038522073089,hey mick i went through your timeliness and didnt see a single post about the 50000 families that have died of covid as a matter of fact i went through mine yours and at least 100 other peoples and none of us have plenty of legit things to critique trump on but this aint 1,covid,366963972,108,1448,40,2,AL,2021-01-06
893,1346819029336526849,trumps covid stimulus bill how it affects food andnutrition,covid,24212723,144709,8128,12,4,NY,2021-01-06
948,1346819014471933961,wealthy donors received vaccines through florida nursing home last moments of trumps party of breathtaking corruption and evil,covid,1274069473,122,12105,0,0,,2021-01-06
998,1346819003721916418,madness and a covid 19 super spreader event which is trumps specialty,covid,4756186311,255,24421,0,0,USA,2021-01-06
1023,1346819000651677698,on dec 15 mcconnell publicly acknowledged bidens victory a week later trump blasted covidrelief deal making pointless demand for 2k checks that night i said on it appeared he wanted to hurt mcconnell on the way out damaging ga senate candidates checks out so far,covid,883413656997961732,391,30960,0,291,,2021-01-06
1203,1346818954438709249,president trump is so smartpeople will start awakening to this truth,covid,1293770120334958592,586,1207,1,0,CA,2021-01-06
1341,1346818922478231552,i went back to december 13 on president trumps twitter timeline i did not see a single hint of compassion for the families of the 50000 americans who have died from covid since that day the president seems incapable of compassion january 20th cant come soon enough,covid,2331337885,822,58478,0,1255,,2021-01-06
1406,1346818906762211329,my mil is being transported to hospice this morning my 82 yr old mom is in the hospital with covid my dad is in quarantine we celebrated our 40th anniversary with frozen pizza and donald trump is trying to overthrow our government hows 2021 going for you,covid,63258820,990,58757,0,183,PA,2021-01-06
1565,1346818875548057600,cvs says it expects to finish first round of covid vaccines in nursing homes by jan 25 breakingnews news china trump biden photo biotechandpharmaceuticals biotechnology breakingnewsbusiness business businessnews cnbcbusiness coronavir,covid,1098227094864183299,1630,10584,0,0,USA,2021-01-06
1735,1346818832434933760,jail for trump the covid19 trump,covid,1270377355136155650,30,14687,0,0,,2021-01-06
1761,1346818826328006657,instead of sending more money for djt to put in his pocket give it to the food banks to help people through the covid crisis trump is yesterdays news,covid,809982722,1443,3264,3,0,,2021-01-06
1789,1346818821219299328,you still support a man who plays golf while thousands are weekly dying from covid a man who refuses to investigate the slaughter of a journalist you and trump are much alike lindsey and history will paint you with the same strokes a coward without integrity or a soul,covid,824329393841512449,53,3691,0,0,,2021-01-06
1918,1346818807642402816,president trump signs covid19 aid bill that includes 900 billion in pandemic relief for individuals and businesses read here,covid,801536030532915200,769,1496,0,0,,2021-01-06
2004,1346818797504765960,almost 4000 people reported yesterday to have died of covid trump holding this weird rally just to show how little he cares for his citizens lives,covid,40865257,440,32973,0,0,,2021-01-06
2079,1346818772636733443,the lastditch protrump rally in downtown dc began with a speaker encouraging trump fans to spread covid to each other really,covid,539573373,3711,376033,0,909,,2021-01-06
2126,1346818757763751936,trump only cares about these races in ga insofar as it reflects on him its all about trump 247 thats why at his rally he only talked about his bogus voter frrud claims barely mentioned the senate candidates amp didnt say a word about the georgians dying from covid19 sad,covid,1321995501433196544,9,1050,0,41,,2021-01-06
2257,1346818721998901253,concern about covid coming from boomer who downplayed covid for the past year what a joke god bless the family of the guy boomer was referring to but boomer trumpism is the last guy to talk how serious covid is,covid,89345165,499,11992,0,0,USA,2021-01-06
2263,1346818719637495810,pennsylvanias gop refused to seat a duly elected state senator today we cannot just move on from trump trumpism remains alive and well sapping our country of her lifeblood just like covid it must be eradicated decorous dems need to be firm relentless in meting out justice,covid,1606799396,5254,139443,0,2326,TX,2021-01-06
2295,1346818707847327752,ds must never forget what went on here or move on ds must forever remind americans that this is the gop a party that tried to take our democracy down in service to a con man who never should have been president never forget 911 covidand the rtrump assault on democracy,covid,741035667136913408,21,5612,1,0,,2021-01-06
2338,1346818697374130177,and with all the gop voters who are dying because trump convinced them to expose themselves to covid and the party split what are the chances pence can stump up winning votes in 2024 another life ruined by trump worlds smallest,covid,1689305016,82,33807,1,0,,2021-01-06
2347,1346818694614290432,translation its all about meeeeee come get covid trump supporters please take note that this is what your fuhrer thinks of you,covid,461614862,480,7500,2,1,NC,2021-01-06
